pizzerias,0
layoff,4
layoffs,3
kiosk,3
kiosks,3
blowout,4
blowouts,4
ebb,4
herb,3
gab,6
boob,7
deb,6
dub,5
daub,8
fab,10
fob,8
gob,7
bib,10
cob,6
babe,12
dab,7
cub,4
curb,6
knob,5
kerb,4
cab,9
lab,12
bob,5
lobe,5
nib,3
nub,7
pub,8
sib,7
tab,1
tub,11
verb,5
lib,11
nab,4
rob,5
lob,11
mob,10
rib,12
robe,2
rub,10
sob,12
sub,9
tube,3
web,6
hob,9
jib,10
jab,11
hub,6
herb,3
job,5
job,5
drub,7
grebe,3
blurb,7
crib,6
blob,3
glib,8
grub,6
crab,1
cube,8
bribe,3
drab,2
globe,3
grab,3
club,6
slab,3
slob,3
snob,6
tribe,3
probe,4
scab,7
stab,6
stub,4
swab,3
tube,3
snub,6
shrub,6
throb,4
scribe,2
scrub,5
imbibe,2
superb,1
perturb,3
disturb,3
punjab,3
inscribe,2
describe,2
prescribe,1
prescribe,1
proscribe,1
subscribe,2
transcribe,0
circumscribe,1
nabob,4
nabobs,2
ribald,2
ribaldry,1
nobody,4
nobodies,1
bebop,7
crowbar,4
rhubarb,4
robot,3
robots,3
drawback,2
playback,2
throwback,2
drawbacks,1
sabah,1
tuba,3
cuba,4
scuba,3
amoeba,1
hubbub,4
probable,1
improbable,0
describable,0
indescribable,0
probably,2
improbably,1
rabid,6
troubadour,2
nobody,4
nobodies,1
cabbage,4
cabbages,2
abacus,2
herbal,0
able,1
dibble,2
bauble,0
foible,2
cobble,3
babel,5
dabble,0
gobble,4
gable,2
fable,3
babble,0
bubble,2
feeble,1
cable,1
label,3
bible,4
double,3
pebble,4
rabble,1
rouble,4
rubble,2
sibyl,3
mobile,3
noble,5
sable,0
verbal,1
libel,7
nibble,1
rebel,1
table,4
wobble,6
hobble,5
herbal,0
dribble,2
global,2
stubble,3
tribal,1
quibble,4
trouble,3
stable,1
treble,2
ennoble,3
immobile,1
enable,0
enable,0
unable,3
scribble,1
squabble,2
scrabble,2
disable,0
enfeeble,1
ignoble,1
redouble,2
nonverbal,1
intertribal,0
parabola,1
hyperbola,0
jubilant,2
herbalists,0
herbalists,0
herbalists,0
herbalists,0
herbalist,1
herbalist,1
stablest,0
herbalists,0
herbalists,0
mobilize,1
verbalize,0
stabilize,0
demobilize,1
metabolize,0
stabilizes,0
mobilized,1
stabilized,0
immobilized,1
demobilized,1
stabilizer,1
stabilizers,0
mobilizing,2
verbalizing,0
stabilizing,1
immobilizing,2
immobilize,1
dibbled,2
fabled,3
babbled,3
gobbled,5
dabbled,1
bubbled,4
cabled,2
cobbled,4
doubled,4
labelled,2
nibbled,3
tabled,4
wobbled,7
hobbled,6
dribbled,2
trebled,2
troubled,4
enabled,0
enabled,0
scribbled,1
squabbled,2
enfeebled,1
disabled,0
redoubled,1
shibboleth,1
abler,2
gobbler,6
stabler,0
gobblers,4
cablegram,0
dabbling,0
gobbling,2
babbling,0
bubbling,2
doubling,2
nibbling,2
tabling,1
wobbling,5
hobbling,4
dribbling,2
troubling,2
quibbling,4
enabling,1
enabling,1
scribbling,2
squabbling,1
disabling,0
redoubling,1
tribalism,0
metabolism,1
metabolisms,0
tribalism,0
bubbly,4
wobbly,6
globally,2
jubilee,1
hyperbole,3
tablecloth,1
tablecloths,1
nobleman,2
troublemaker,0
troublemakers,1
troublesome,1
tablespoon,0
tablespoons,0
cobblestone,1
cobblestones,1
troubleshooter,2
doublethink,2
tableware,0
noblewoman,0
w,24
ws,23
dabbles,1
baubles,4
gables,3
foibles,3
bibles,4
fables,4
bubbles,2
doubles,3
cables,2
labels,2
mobiles,2
nobles,4
pebbles,3
sables,2
nibbles,1
rebels,1
tables,5
hobbles,3
quibbles,3
stables,2
troubles,2
enables,1
enables,1
scribbles,1
squabbles,1
disables,0
urban,3
bobbin,5
gibbon,4
bourbon,4
cabin,6
ribbon,3
robin,4
turban,2
cuban,5
suburban,2
interurban,1
concubinage,1
lebanon,1
cabinet,3
cabinets,0
suburbanite,0
suburbanites,0
urbanize,1
urbanized,2
ebony,3
lebanese,0
disturbance,0
disturbances,0
bourbons,3
cabins,2
gibbons,4
ribbons,2
robins,3
turbans,3
cubans,4
ibis,3
rebus,3
plebiscite,1
plebiscite,1
abbot,1
habit,4
sherbet,2
exhibit,1
cohabit,3
inhabit,4
inhibit,3
prohibit,3
sabotage,2
sabotaged,2
sabotaging,0
habitat,3
habitats,2
habitable,1
uninhabitable,0
exhibited,3
inhibited,1
inhabited,0
prohibited,1
uninhibited,1
inhabitants,0
inhabitant,2
inhabitants,0
inhibitory,2
prohibitory,2
exhibitor,1
exhibitors,1
exhibiting,1
cohabiting,2
inhabiting,1
inhibiting,2
prohibiting,2
prohibitive,1
prohibitively,1
probity,5
habits,2
exhibits,2
inhabits,1
inhibits,2
prohibits,3
sabbath,4
february,0
amoebas,1
roebuck,2
robot,3
turbot,3
robots,3
newborn,3
eyeball,0
snowball,1
screwball,1
piebald,1
snowballed,2
snowballing,0
cobalt,4
eyeballs,0
snowballs,1
keyboard,1
seaboard,1
keyboards,1
seaborne,1
snowbound,3
rebounds,3
labour,3
turbine,3
turbines,2
rabbi,5
flyby,6
immobile,1
rabbis,4
dabchick,3
ebbed,2
daubed,2
curbed,2
dubbed,3
lobed,2
lobbed,4
mobbed,5
nabbed,2
robbed,3
robed,3
rubbed,4
sobbed,6
subbed,6
ribbed,2
webbed,6
jabbed,7
drubbed,4
crabbed,1
clubbed,5
cubed,6
bribed,3
grabbed,3
probed,2
snubbed,4
stabbed,3
stubbed,3
scrubbed,2
imbibed,3
perturbed,3
disturbed,2
inscribed,1
described,2
proscribed,1
subscribed,1
prescribed,2
transcribed,0
circumscribed,1
oversubscribed,1
abdicate,0
abdicated,0
abdicates,0
abdomen,0
molybdenum,3
abdicating,0
subdivision,2
subdivisions,2
cabdriver,1
cabdrivers,0
ibex,9
seabed,2
cowbell,5
cowbells,2
blueberry,2
strawberry,0
blueberries,1
strawberries,0
dauber,2
fibre,4
labour,3
lubber,3
robber,3
tabor,3
rubber,2
sabre,1
sober,2
jobber,6
grabber,2
blubber,4
clobber,6
slobber,5
scrubber,2
macabre,1
october,5
subscriber,1
liberal,0
liberalize,0
liberalized,0
liberalizing,0
liberalism,0
liberally,0
liberals,0
exuberance,0
protuberance,0
protuberance,0
protuberances,1
protuberances,1
exuberant,0
deliberate,0
corroborative,0
deliberately,0
rubberize,1
rubberized,2
suburb,5
fibreboard,0
suburbs,4
cupboard,2
sobered,3
clobbered,3
scabbard,1
haberdashery,1
gabardine,1
gabardines,1
cupboards,1
elaborated,1
liberator,0
liberators,0
liberate,1
corroborate,1
elaborate,0
collaborate,0
deliberate,0
reverberate,0
liberated,1
corroborated,0
deliberated,0
collaborated,0
reverberated,0
reverberated,0
collaborator,1
collaborators,1
liberating,0
corroborating,1
elaborating,1
deliberating,0
collaborating,0
reverberating,0
reverberating,0
deliberative,0
elaborates,2
corroborates,1
deliberates,0
reverberates,1
flabbergast,0
flabbergasted,0
sobering,3
clobbering,2
slobbering,2
gibberish,1
labyrinth,1
robbery,3
rubbery,3
bribery,3
snobbery,2
shrubbery,2
robberies,1
soberly,2
auburn,4
freeborn,2
stubborn,3
tabernacle,0
stubbornness,1
hibernate,1
stubbornly,3
stubbornness,1
herbert,3
liberty,3
puberty,3
liberties,1
libertine,2
libertines,1
lubbers,3
robbers,2
sobers,1
rubbers,3
sabres,1
jobbers,4
grabbers,1
scrubbers,2
subscribers,1
bluebird,3
crybaby,4
rebate,1
probate,0
rebates,2
obfuscate,1
clubhouse,2
clubhouses,2
woebegone,1
cribbage,1
phobic,2
cubic,4
pubic,5
amoebic,2
cherubic,1
syllabic,1
xenophobic,1
claustrophobic,0
cubicle,2
cubicles,1
rubicon,4
ebbing,2
dubbing,6
curbing,4
dabbing,5
bobbing,7
lobbing,3
nabbing,1
robbing,4
sobbing,5
subbing,7
ribbing,7
rubbing,6
tubing,4
webbing,7
jabbing,6
drubbing,6
clubbing,3
bribing,5
grabbing,1
snubbing,3
probing,4
stabbing,3
throbbing,3
scrubbing,3
disturbing,2
describing,1
prescribing,1
subscribing,2
transcribing,0
sobbingly,2
rubbish,3
snobbish,2
refurbish,3
refurbishing,1
refurbished,1
dobbin,2
dobbins,4
cubist,4
furbish,3
furbishing,3
debit,4
rabbit,5
cubit,4
rabbits,2
showbiz,2
cubism,5
abbey,4
knobby,6
cabby,6
booby,3
derby,5
bobby,6
baby,10
maybe,5
tabby,4
toby,6
tubby,8
ruby,7
lobby,3
hubby,7
chubby,6
hobby,6
shabby,2
freebie,1
crabby,3
flabby,4
grubby,5
snobby,5
stubby,5
adobe,1
scrubby,4
libya,2
phobia,0
tibia,1
arabia,1
namibia,0
suburbia,1
xenophobia,0
claustrophobia,0
adverbial,1
proverbial,0
fabian,3
libyan,2
arabian,1
amphibian,0
namibian,0
libyans,2
arabians,0
amphibians,2
dubious,3
lobbyists,2
amphibious,0
lobbyists,2
lobbyist,4
lobbyists,2
phobias,2
lobbied,3
cubbyhole,2
babyhood,2
verbiage,1
lobbying,3
babyish,4
cabbies,3
babies,4
rabies,1
rubies,2
lobbies,1
hobbies,3
freebies,1
immobile,1
soybean,0
soybeans,0
browbeat,1
subjugate,3
subjugated,0
objects,2
abject,0
object,3
objects,2
subjects,1
subject,1
subjects,1
hubcap,5
hubcaps,3
bobcat,5
bobcats,3
obligate,1
obligated,1
obligates,1
republic,2
biblical,1
republican,0
republicans,0
problem,4
problems,2
jobless,2
publicize,2
publicized,1
publicizing,2
publicists,2
publicists,2
publicist,3
publicists,2
ablest,2
noblest,2
goblet,6
tablet,3
tablets,1
oblong,4
sublet,5
abler,2
babbler,1
cobbler,5
scribbler,2
babblers,2
cobblers,3
scribblers,2
oblate,0
public,5
republican,0
republicanism,0
republicans,0
publicly,4
publics,4
republics,2
dabbling,0
gobbling,2
babbling,0
bubbling,2
doubling,2
nibbling,2
sibling,2
tabling,1
wobbling,5
hobbling,4
dribbling,2
troubling,2
quibbling,4
enabling,1
scribbling,2
squabbling,1
disabling,0
redoubling,1
siblings,2
publish,6
establish,1
establish,1
publishes,1
establishes,0
establishes,0
publisher,2
publishers,1
publishing,4
establishing,0
establishing,0
establishment,0
establishment,0
disestablishment,0
establishments,0
establishments,0
published,1
established,0
established,0
goblin,4
goblins,2
ably,5
bubbly,4
feebly,2
doubly,5
nobly,4
glibly,4
probably,2
sublease,0
pueblo,4
tabloid,2
tabloids,3
submarine,0
submarines,0
hobnob,3
hobnobbing,2
cabinet,3
cabinets,0
hobnail,4
abo,6
oboe,2
hobo,3
placebo,2
oboist,4
turbojet,3
turboprop,3
turboprops,3
placebos,0
tbone,5
jawbone,3
rowboat,2
showboat,3
lobotomy,3
cowboy,5
highboy,2
playboy,3
cowboys,5
subplot,3
subplots,3
cobra,1
sabra,5
libra,1
zebra,5
macabre,1
candelabra,0
abracadabra,0
hybrid,5
labrador,1
hybridize,2
hybrids,5
abrogate,1
abrogated,1
abrogating,1
lubricant,1
lubricants,1
lubricants,1
